Detector, Descriptor, Image No., LiDAR Points size,kpt Matches Size, LiDAR TTC, Camera TTC
SHITOMASI,BRIEF,21,389,13,6.8337,-0.197521
SHITOMASI,BRIEF,22,422,16,6.80636,14.9789
SHITOMASI,BRIEF,25,446,14,7.14768,24.0599
SHITOMASI,BRIEF,26,433,13,9.97707,-707.483
SHITOMASI,BRIEF,27,491,11,7.06,6.92786
SHITOMASI,BRIEF,28,506,10,12.6681,35.6904
SHITOMASI,BRIEF,28,506,20,nan,35.6904
SHITOMASI,BRIEF,29,441,16,7.25063,51.688
SHITOMASI,BRIEF,32,573,17,10.9404,9.29205
SHITOMASI,BRIEF,33,544,15,9.22618,-inf
SHITOMASI,BRIEF,34,591,18,7.60959,21.5437
SHITOMASI,BRIEF,35,582,10,6.59279,13.5162
SHITOMASI,BRIEF,36,455,17,10.6294,15.2406
SHITOMASI,BRIEF,37,476,13,7.22569,6.72601
SHITOMASI,BRIEF,38,575,14,4.99238,48.338
SHITOMASI,BRIEF,39,603,9,5.47658,21.4376
SHITOMASI,BRIEF,40,634,5,5.20724,-4.41343
SHITOMASI,BRIEF,41,579,12,5.16145,11.0044
SHITOMASI,BRIEF,42,574,17,5.9427,34.9136
SHITOMASI,BRIEF,43,438,16,13.8227,13.4007
SHITOMASI,BRIEF,44,481,13,4.738,-122.989
SHITOMASI,BRIEF,45,564,17,5.60845,30.2065
SHITOMASI,BRIEF,46,494,13,6.54998,18.9174
SHITOMASI,BRIEF,47,500,11,6.95384,211.312
SHITOMASI,BRIEF,48,529,14,14.9666,19.0112
SHITOMASI,BRIEF,48,529,28,nan,19.0695
SHITOMASI,BRIEF,49,468,10,-149.754,15.34
SHITOMASI,BRIEF,49,468,20,nan,17.1824
SHITOMASI,BRIEF,50,391,11,20.3229,-inf
SHITOMASI,BRIEF,50,391,22,nan,-inf
SHITOMASI,BRIEF,51,393,12,29.706,-inf
SHITOMASI,BRIEF,51,393,24,2.3088,-inf
SHITOMASI,BRIEF,52,396,14,24.656,24.1081
SHITOMASI,BRIEF,52,396,28,nan,24.1081
SHITOMASI,BRIEF,53,411,9,29.486,-inf
SHITOMASI,BRIEF,53,411,18,2.32789,-inf
SHITOMASI,BRIEF,54,420,7,110.483,-inf
SHITOMASI,BRIEF,54,420,14,2.41475,-inf
SHITOMASI,BRIEF,55,419,12,-18.5127,-51.7156
SHITOMASI,BRIEF,55,419,24,nan,-51.7156
SHITOMASI,BRIEF,56,440,15,18.4127,26.8502
SHITOMASI,BRIEF,56,440,30,2.31361,26.8502
SHITOMASI,BRIEF,57,448,8,-23.3578,-inf
SHITOMASI,BRIEF,57,448,16,2.61059,-inf
SHITOMASI,BRIEF,58,417,10,-40.4466,23.7038
SHITOMASI,BRIEF,58,417,20,2.64821,-inf
SHITOMASI,BRIEF,59,452,12,13.8031,-181.402
SHITOMASI,BRIEF,59,452,24,2.44033,-inf
SHITOMASI,BRIEF,60,416,9,-15.3309,-inf
SHITOMASI,BRIEF,60,416,18,2.85,-inf
SHITOMASI,BRIEF,61,408,7,88.818,-inf
SHITOMASI,BRIEF,61,408,14,3.28962,-inf
SHITOMASI,BRIEF,62,440,5,18.404,-24.2102
SHITOMASI,BRIEF,62,440,10,2.31257,-24.2102
SHITOMASI,BRIEF,63,427,6,147.144,-22.9792
SHITOMASI,BRIEF,63,427,12,2.59647,-22.9792
SHITOMASI,BRIEF,64,418,6,-220.816,-inf
SHITOMASI,BRIEF,64,418,12,2.45333,-inf
SHITOMASI,BRIEF,65,444,7,-20.1724,-inf
SHITOMASI,BRIEF,65,444,14,2.62604,-inf
SHITOMASI,BRIEF,66,426,6,15.7498,-inf
SHITOMASI,BRIEF,66,426,12,2.60947,-inf
SHITOMASI,BRIEF,67,434,7,-63.1003,-inf
SHITOMASI,BRIEF,67,434,14,2.36203,-inf
SHITOMASI,BRIEF,68,434,8,-110.52,-inf
SHITOMASI,BRIEF,68,434,16,2.85225,-inf
